,State,Year,Murder,Rape,Foeticide,Kidnapping and Abduction,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes
173,west bengal,2001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
178,delhi,2001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
179,delhi,2001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
180,delhi,2001,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
181,delhi,2001,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
184,andhra pradesh,2002,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
185,andhra pradesh,2002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
186,andhra pradesh,2002,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
187,andhra pradesh,2002,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
188,andhra pradesh,2002,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
189,andhra pradesh,2002,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
190,andhra pradesh,2002,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
191,arunachal pradesh,2002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,arunachal pradesh,2002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
194,arunachal pradesh,2002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,assam,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
198,assam,2002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
200,assam,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
203,bihar,2002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
205,bihar,2002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
206,bihar,2002,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
207,bihar,2002,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
208,bihar,2002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
209,bihar,2002,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
211,bihar,2002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
212,bihar,2002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
213,chhattisgarh,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
214,chhattisgarh,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
215,chhattisgarh,2002,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
216,chhattisgarh,2002,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
217,chhattisgarh,2002,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
219,gujarat,2002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
220,gujarat,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
221,gujarat,2002,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
222,gujarat,2002,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
223,gujarat,2002,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
224,gujarat,2002,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
225,gujarat,2002,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
226,gujarat,2002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,haryana,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
228,haryana,2002,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
