State,Year,Crimes,Literacy Rate,Int Border
gujarat,2011,1131,77.83607143,1
haryana,2011,280,78.522,0
himachal pradesh,2011,261,83.85,1
jammu & kashmir,2011,25,66.27430233,1
jharkhand,2011,85,62.34714286,0
karnataka,2011,334,75.1647619,0
kerala,2011,1452,99.94142857,0
madhya pradesh,2011,4381,68.72928571,0
maharashtra,2011,3362,84.22607143,0
manipur,2011,87,79.50392857,1
meghalaya,2011,104,71.98285714,1
mizoram,2011,52,96.45392857,1
nagaland,2011,20,81.09464286,1
odisha,2011,315,70.01214286,0
punjab,2011,622,78.242,1
rajasthan,2011,1491,64.20178571,1
sikkim,2011,29,84.216,1
tamil nadu,2011,925,80.93857143,0
tripura,2011,102,87.4,1
uttar pradesh,2011,5500,63.58071429,1
uttarakhand,2011,83,79.70928571,1
west bengal,2011,1450,75.8275,1
a&n islands,2011,31,90.09285714,0
chandigarh,2011,74,85.882,0
d&n haveli,2011,11,73.312,0
daman & diu,2011,3,86.77666667,0
delhi,2011,4250,86.14857143,0
lakshadweep,2011,0,101.0035714,0
puducherry,2011,15,89.06047619,0
andhra pradesh,2012,2274,67.81362857,0
arunachal pradesh,2012,39,66.63997143,1
assam,2012,392,72.25510714,1
bihar,2012,2894,57.06660714,1
chhattisgarh,2012,1881,70.04742857,0
goa,2012,122,94.98539286,0
gujarat,2012,1327,78.79432143,1
haryana,2012,1015,79.8266,0
himachal pradesh,2012,266,84.797,1
jammu & kashmir,2012,40,67.37731395,1
jharkhand,2012,113,63.21428571,0
karnataka,2012,875,76.09901905,0
kerala,2012,1324,100.7702857,0
madhya pradesh,2012,5168,69.6955,0
maharashtra,2012,3456,85.17603571,0
manipur,2012,104,80.51582143,1
meghalaya,2012,91,72.96517143,1
mizoram,2012,95,97.52039286,1
nagaland,2012,13,82.25317857,1
odisha,2012,418,71.0015,0
punjab,2012,877,79.3392,1
rajasthan,2012,1807,65.17817857,1
sikkim,2012,30,85.8372,1
tamil nadu,2012,1036,81.82691429,0
tripura,2012,20,88.7482,1
uttar pradesh,2012,6033,64.48964286,1
uttarakhand,2012,122,80.82107143,1
west bengal,2012,1706,76.69232143,1
a&n islands,2012,28,91.069,0
chandigarh,2012,96,86.2658,0
d&n haveli,2012,8,74.7215,0
daman & diu,2012,8,87.57166667,0
delhi,2012,4462,86.64691429,0
lakshadweep,2012,0,102.3567857,0
puducherry,2012,32,89.9295619,0
andhra pradesh,2013,2576,68.80011429,0
arunachal pradesh,2013,82,67.88708571,1
assam,2013,518,73.11414286,1
bihar,2013,1580,57.81428571,1
chhattisgarh,2013,3737,71.09914286,0
goa,2013,270,96.10114286,0
gujarat,2013,2076,79.75257143,1
haryana,2013,1640,81.1312,0
himachal pradesh,2013,428,85.744,1
jammu & kashmir,2013,75,68.48032558,1
jharkhand,2013,129,64.08142857,0
karnataka,2013,1353,77.03327619,0
kerala,2013,1877,101.5991429,0
madhya pradesh,2013,8247,70.66171429,0
maharashtra,2013,6410,86.126,0
manipur,2013,123,81.52771429,1
meghalaya,2013,183,73.94748571,1
mizoram,2013,78,98.58685714,1
nagaland,2013,8,83.41171429,1
odisha,2013,1123,71.99085714,0
punjab,2013,1336,80.4364,1
rajasthan,2013,2888,66.15457143,1
sikkim,2013,39,87.4584,1
tamil nadu,2013,1188,82.71525714,0
tripura,2013,100,90.0964,1
uttar pradesh,2013,9857,65.39857143,1
uttarakhand,2013,232,81.93285714,1
west bengal,2013,2530,77.55714286,1
a&n islands,2013,54,92.04514286,0
chandigarh,2013,213,86.6496,0
d&n haveli,2013,14,76.131,0
daman & diu,2013,14,88.36666667,0
delhi,2013,7199,87.14525714,0
lakshadweep,2013,0,103.71,0
puducherry,2013,47,90.79864762,0
andhra pradesh,2014,2059,69.7866,0
arunachal pradesh,2014,134,69.1342,1
assam,2014,1385,73.97317857,1
bihar,2014,2255,58.56196429,1
chhattisgarh,2014,4358,72.15085714,0
goa,2014,330,97.21689286,0
gujarat,2014,3219,80.71082143,1
haryana,2014,2540,82.4358,0
himachal pradesh,2014,467,86.691,1
jammu & kashmir,2014,211,69.58333721,1
jharkhand,2014,423,64.94857143,0
karnataka,2014,3416,77.96753333,0
kerala,2014,2391,102.428,0
madhya pradesh,2014,15085,71.62792857,0
maharashtra,2014,8115,87.07596429,0
manipur,2014,137,82.53960714,1
meghalaya,2014,213,74.9298,1
mizoram,2014,178,99.65332143,1
nagaland,2014,25,84.57025,1
odisha,2014,2196,72.98021429,0
punjab,2014,1762,81.5336,1
rajasthan,2014,3880,67.13096429,1
sikkim,2014,93,89.0796,1
tamil nadu,2014,2354,83.6036,0
telangana,2014,1930,74.98807143,0
tripura,2014,369,91.4446,1
uttar pradesh,2014,14835,66.3075,1
uttarakhand,2014,489,83.04464286,1
west bengal,2014,4909,78.42196429,1
a&n islands,2014,50,93.02128571,0
chandigarh,2014,208,87.0334,0
d&n haveli,2014,11,77.5405,0
daman & diu,2014,7,89.16166667,0
delhi,2014,9350,87.6436,0
lakshadweep,2014,1,105.0632143,0
puducherry,2014,38,91.66773333,0
andhra pradesh,2015,1992,70.77308571,0
arunachal pradesh,2015,181,70.38131429,1
assam,2015,2835,74.83221429,1
bihar,2015,1917,59.30964286,1
chhattisgarh,2015,4469,73.20257143,0
goa,2015,242,98.33264286,0
gujarat,2015,3623,81.66907143,1
haryana,2015,3262,83.7404,0
himachal pradesh,2015,477,87.638,1
jammu & kashmir,2015,308,70.68634884,1
jharkhand,2015,406,65.81571429,0
karnataka,2015,3961,78.90179048,0
kerala,2015,2384,103.2568571,0
madhya pradesh,2015,12859,72.59414286,0
maharashtra,2015,13921,88.02592857,0
manipur,2015,110,83.5515,1
meghalaya,2015,257,75.91211429,1
mizoram,2015,186,100.7197857,1
nagaland,2015,61,85.72878571,1
odisha,2015,2562,73.96957143,0
punjab,2015,1836,82.6308,1
rajasthan,2015,3689,68.10735714,1
sikkim,2015,64,90.7008,1
tamil nadu,2015,2617,84.49194286,0
telangana,2015,2697,75.89814286,0
tripura,2015,255,92.7928,1
uttar pradesh,2015,11420,67.21642857,1
uttarakhand,2015,635,84.15642857,1
west bengal,2015,4963,79.28678571,1
a&n islands,2015,102,93.99742857,0
chandigarh,2015,271,87.4172,0
d&n haveli,2015,35,78.95,0
daman & diu,2015,28,89.95666667,0
delhi,2015,9489,88.14194286,0
lakshadweep,2015,2,106.4164286,0
puducherry,2015,56,92.53681905,0
