85,maharashtra,2003,206.0,605.0,5.0,337.0,5.0,293.0,20.0,3.0,16.0,506.0,2001.0,76.62635714285716
86,manipur,2003,1.0,7.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,71.40878571428607
87,meghalaya,2003,14.0,24.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,64.12434285714221
88,mizoram,2003,5.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,87.92221428571474
89,nagaland,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.82635714285743
90,odisha,2003,15.0,55.0,0.0,25.0,1.0,0.0,4.0,0.0,0.0,40.0,140.0,62.0972857142865
91,punjab,2003,25.0,54.0,11.0,67.0,0.0,9.0,0.0,0.0,2.0,16.0,184.0,69.46440000000075
92,rajasthan,2003,26.0,49.0,12.0,46.0,0.0,97.0,1.0,0.0,6.0,2.0,240.0,56.390642857142666
93,sikkim,2003,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,15.0,71.2464
94,tamil nadu,2003,60.0,47.0,0.0,37.0,0.0,7.0,0.0,0.0,3.0,23.0,177.0,73.83182857142947
95,tripura,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.61440000000084
96,uttar pradesh,2003,458.0,301.0,3.0,561.0,2.0,0.0,28.0,0.0,4.0,345.0,1702.0,56.309285714285124
97,uttarakhand,2003,3.0,11.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,23.0,70.81500000000005
98,west bengal,2003,2.0,16.0,0.0,32.0,0.0,0.0,12.0,6.0,1.0,61.0,148.0,68.90892857142853
99,a&n islands,2003,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,82.2837142857129
100,chandigarh,2003,3.0,9.0,0.0,14.0,0.0,11.0,0.0,0.0,0.0,3.0,40.0,82.81160000000057
101,d&n haveli,2003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,62.03600000000006
102,daman & diu,2003,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,80.41666666666652
103,delhi,2003,32.0,140.0,2.0,255.0,0.0,39.0,0.0,0.0,1.0,47.0,516.0,82.16182857143053
104,lakshadweep,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,90.17785714285674
105,puducherry,2003,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,82.10779047618962
106,andhra pradesh,2004,71.0,363.0,0.0,396.0,2.0,26.0,60.0,0.0,4.0,406.0,1328.0,59.92174285714259
107,arunachal pradesh,2004,0.0,11.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,56.663057142856815
108,assam,2004,1.0,7.0,0.0,3.0,0.0,0.0,8.0,1.0,1.0,0.0,21.0,65.38282142857179
109,bihar,2004,9.0,3.0,1.0,29.0,0.0,1.0,7.0,1.0,3.0,5.0,59.0,51.08517857142806
110,chhattisgarh,2004,44.0,308.0,6.0,70.0,6.0,14.0,1.0,0.0,14.0,477.0,940.0,61.63371428571418
111,goa,2004,2.0,20.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,20.0,53.0,86.05939285714385
112,gujarat,2004,74.0,96.0,0.0,300.0,1.0,95.0,5.0,0.0,30.0,198.0,799.0,71.12832142857224
113,haryana,2004,23.0,24.0,15.0,42.0,1.0,15.0,0.0,0.0,2.0,42.0,164.0,69.38980000000129
114,himachal pradesh,2004,5.0,32.0,2.0,26.0,0.0,13.0,0.0,0.0,2.0,12.0,92.0,77.22100000000046
115,jammu & kashmir,2004,1.0,4.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,2.0,35.0,58.55322093023233
116,jharkhand,2004,6.0,43.0,1.0,18.0,0.0,0.0,5.0,0.0,0.0,39.0,112.0,56.27714285714251
117,karnataka,2004,54.0,42.0,4.0,41.0,1.0,17.0,4.0,0.0,1.0,25.0,189.0,68.62496190476145
118,kerala,2004,51.0,159.0,0.0,54.0,0.0,0.0,20.0,0.0,1.0,56.0,341.0,94.13942857142888
119,madhya pradesh,2004,144.0,710.0,9.0,179.0,5.0,115.0,2.0,0.0,2.0,2487.0,3653.0,61.965785714286085
120,maharashtra,2004,187.0,634.0,15.0,380.0,8.0,249.0,14.0,3.0,14.0,766.0,2281.0,77.57632142857142
121,manipur,2004,0.0,4.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,72.42067857142888
122,meghalaya,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.10665714285642
123,mizoram,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.98867857142932
124,nagaland,2004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72.98489285714322
125,odisha,2004,9.0,31.0,0.0,11.0,0.0,0.0,3.0,0.0,1.0,74.0,129.0,63.08664285714349
126,punjab,2004,42.0,54.0,8.0,53.0,1.0,12.0,0.0,1.0,2.0,20.0,193.0,70.56160000000045
127,rajasthan,2004,21.0,137.0,17.0,128.0,0.0,90.0,1.0,1.0,2.0,5.0,403.0,57.36703571428552
128,sikkim,2004,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,72.86760000000004
129,tamil nadu,2004,71.0,166.0,0.0,93.0,3.0,20.0,6.0,0.0,5.0,29.0,393.0,74.72017142857226
130,tripura,2004,5.0,28.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,12.0,59.0,77.9626000000012
131,uttar pradesh,2004,528.0,394.0,2.0,735.0,4.0,0.0,23.0,0.0,1.0,234.0,1921.0,57.21821428571366
